Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_animal_1,100,1693,1204,2656,339.99,0.00%,28.77698,1768.91,32.26,62944.9
GraphQL_animal_2,100,1702,1368,2085,179.88,0.00%,27.98769,1680.47,259.54,61484.2
GraphQL_animal_3,100,1731,1138,2514,230.83,0.00%,27.79322,1550.69,41.88,57132.7
GraphQL_animal_4,100,1679,1181,2798,260.32,0.00%,25.13194,1354.81,24.84,55201.8
GraphQL_animal_5,100,1656,1156,2372,255.73,0.00%,23.65744,1227.67,10.21,53139.1
GraphQL_animal_6,100,1743,873,2683,402.14,0.00%,24.84472,1116.17,10.53,46004.2
GraphQL_animal_7,100,1389,824,2519,245.5,0.00%,24.98751,368.59,10.59,15105
GraphQL_animal_8,100,1430,1045,1574,121.91,0.00%,25.01876,317.39,10.6,12990.7
GraphQL_animal_9,100,1476,1046,1771,185.38,0.00%,27.31494,350.7,24.65,13147.4
GraphQL_animal_10,100,1004,573,1775,399.78,0.00%,36.60322,472.46,41.04,13217.4
GraphQL_art_1,100,9473,110,10105,2228.88,100.00%,8.7535,24.11,0,2820
GraphQL_art_2,100,9260,110,10113,2583.44,100.00%,4.68801,12.91,0,2820
GraphQL_art_3,100,240,103,1147,180.61,48.00%,4.53104,143.9,0.56,32521
GraphQL_art_4,100,83,51,269,45.91,72.00%,4.5996,77.78,0.6,17316
GraphQL_art_5,100,72,49,241,29.61,79.00%,4.59453,71.43,0.54,15919.8
GraphQL_art_6,100,71,49,194,24.97,82.00%,4.5861,62.06,0.56,13856.7
GraphQL_art_7,100,67,50,207,21.14,77.00%,4.58232,64.2,0.6,14345.9
GraphQL_art_8,100,9476,111,10099,2187.65,100.00%,3.14031,8.65,0,2820
GraphQL_art_9,100,9153,121,10108,2656.27,100.00%,2.71393,7.47,0,2820
GraphQL_art_10,100,8771,114,10141,2976.56,100.00%,2.21951,6.11,0,2820
GraphQL_business_SpaceX_1,100,351,239,685,87.63,0.00%,2.6693,0.94,0.81,361
GraphQL_business_SpaceX_2,100,90,77,204,18.28,0.00%,2.70709,1.14,0.77,431
GraphQL_business_SpaceX_3,100,256,178,633,69.95,0.00%,2.69302,8.28,0.81,3148
