Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_animal_1,1,838,838,838,0.00,0.000%,1.19332,73.35,1.34,62943.0
GraphQL_animal_2,1,540,540,540,0.00,0.000%,1.85185,111.18,17.17,61480.0
GraphQL_animal_3,1,524,524,524,0.00,0.000%,1.90840,106.48,2.88,57134.0
GraphQL_animal_4,1,440,440,440,0.00,0.000%,2.27273,122.55,2.25,55215.0
GraphQL_animal_5,1,412,412,412,0.00,0.000%,2.42718,125.96,1.05,53139.0
GraphQL_animal_6,1,433,433,433,0.00,0.000%,2.30947,119.81,0.98,53121.0
GraphQL_animal_7,1,423,423,423,0.00,0.000%,2.36407,122.63,1.00,53117.0
GraphQL_animal_8,1,459,459,459,0.00,0.000%,2.17865,113.02,0.92,53121.0
GraphQL_animal_9,1,509,509,509,0.00,0.000%,1.96464,107.01,1.77,55774.0
GraphQL_animal_10,1,326,326,326,0.00,0.000%,3.06748,188.57,3.44,62949.0
GraphQL_art_1,1,1201,1201,1201,0.00,0.000%,.83264,197.28,0.15,242619.0
GraphQL_art_2,1,369,369,369,0.00,0.000%,2.71003,633.66,0.40,239431.0
GraphQL_art_3,1,228,228,228,0.00,0.000%,4.38596,258.48,0.54,60347.0
GraphQL_art_4,1,75,75,75,0.00,0.000%,13.33333,762.01,1.74,58522.0
GraphQL_art_5,1,91,91,91,0.00,0.000%,10.98901,768.96,1.30,71655.0
GraphQL_art_6,1,90,90,90,0.00,0.000%,11.11111,785.47,1.35,72389.0
GraphQL_art_7,1,71,71,71,0.00,0.000%,14.08451,804.94,1.84,58522.0
GraphQL_art_8,1,443,443,443,0.00,0.000%,2.25734,520.35,0.39,236046.0
GraphQL_art_9,1,330,330,330,0.00,0.000%,3.03030,718.52,0.53,242803.0
GraphQL_art_10,1,235,235,235,0.00,0.000%,4.25532,1063.15,0.62,255837.0
GraphQL_business_SpaceX_1,1,682,682,682,0.00,0.000%,1.46628,0.52,0.44,361.0
GraphQL_business_SpaceX_2,1,79,79,79,0.00,0.000%,12.65823,5.33,3.60,431.0
GraphQL_business_SpaceX_3,1,347,347,347,0.00,0.000%,2.88184,8.86,0.86,3148.0
GraphQL_business_SpaceX_4,1,198,198,198,0.00,0.000%,5.05051,12.16,2.09,2466.0
GraphQL_business_SpaceX_5,1,332,332,332,0.00,0.000%,3.01205,1.34,2.14,455.0
GraphQL_business_SpaceX_6,1,342,342,342,0.00,0.000%,2.92398,2.10,1.52,736.0
GraphQL_business_SpaceX_7,1,342,342,342,0.00,0.000%,2.92398,45.21,1.36,15834.0
GraphQL_business_SpaceX_8,1,330,330,330,0.00,0.000%,3.03030,1.49,1.48,505.0
GraphQL_business_SpaceX_9,1,187,187,187,0.00,0.000%,5.34759,10.05,3.52,1925.0
GraphQL_business_SpaceX_10,1,326,326,326,0.00,0.000%,3.06748,22.67,1.42,7569.0
GraphQL_calendar_1,1,208,208,208,0.00,0.000%,4.80769,571.30,0.74,121682.0
GraphQL_calendar_2,1,89,89,89,0.00,0.000%,11.23596,2883.90,1.91,262827.0
GraphQL_calendar_3,1,90,90,90,0.00,0.000%,11.11111,2851.51,1.89,262795.0
GraphQL_calendar_4,1,84,84,84,0.00,0.000%,11.90476,3055.06,2.02,262784.0
GraphQL_calendar_5,1,70,70,70,0.00,0.000%,14.28571,1046.15,1.91,74988.0
GraphQL_calendar_6,1,104,104,104,0.00,0.000%,9.61538,2492.53,1.31,265444.0
GraphQL_calendar_7,1,88,88,88,0.00,0.000%,11.36364,2945.58,1.55,265432.0
GraphQL_calendar_8,1,82,82,82,0.00,0.000%,12.19512,3161.66,1.67,265478.0
GraphQL_calendar_9,1,79,79,79,0.00,0.000%,12.65823,3281.46,1.73,265457.0
GraphQL_calendar_10,1,79,79,79,0.00,0.000%,12.65823,3281.05,1.73,265424.0
GraphQL_develop_github_1,1,355,355,355,0.00,0.000%,2.81690,18.50,1.16,6726.0
GraphQL_develop_github_2,1,165,165,165,0.00,0.000%,6.06061,81.36,2.31,13746.0
GraphQL_develop_github_3,1,164,164,164,0.00,0.000%,6.09756,94.15,2.82,15812.0
GraphQL_develop_github_4,1,409,409,409,0.00,0.000%,2.44499,479.07,1.62,200641.0
GraphQL_develop_github_5,1,208,208,208,0.00,0.000%,4.80769,64.54,1.79,13746.0
GraphQL_develop_github_6,1,123,123,123,0.00,0.000%,8.13008,36.51,4.50,4599.0
GraphQL_develop_github_7,1,128,128,128,0.00,0.000%,7.81250,25.88,3.27,3392.0
GraphQL_develop_github_8,1,136,136,136,0.00,0.000%,7.35294,24.29,3.01,3383.0
GraphQL_develop_github_9,1,143,143,143,0.00,0.000%,6.99301,45.93,2.87,6726.0
GraphQL_develop_github_10,1,138,138,138,0.00,0.000%,7.24638,58.12,2.99,8213.0
GraphQL_develop_github_11,1,128,128,128,0.00,0.000%,7.81250,29.34,4.05,3846.0
GraphQL_develop_github_12,1,126,126,126,0.00,0.000%,7.93651,29.81,4.16,3846.0
GraphQL_develop_github_13,1,128,128,128,0.00,0.000%,7.81250,29.34,4.11,3846.0
GraphQL_develop_github_14,1,128,128,128,0.00,0.000%,7.81250,29.34,4.10,3846.0
GraphQL_develop_github_15,1,128,128,128,0.00,0.000%,7.81250,29.34,4.10,3846.0
GraphQL_develop_github_16,1,131,131,131,0.00,0.000%,7.63359,33.48,3.56,4491.0
GraphQL_develop_github_17,1,128,128,128,0.00,0.000%,7.81250,34.26,3.64,4491.0
GraphQL_develop_github_18,1,179,179,179,0.00,0.000%,5.58659,42.42,2.34,7775.0
GraphQL_develop_github_19,1,123,123,123,0.00,0.000%,8.13008,10.15,3.25,1279.0
GraphQL_develop_github_20,1,135,135,135,0.00,0.000%,7.40741,19.65,2.99,2716.0
GraphQL_fakeemail_country_1,1,53,53,53,0.00,0.000%,18.86792,16.99,4.61,922.0
