Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_fakeemail_country_1,1000,888,313,6136,778.90,97.300%,144.44605,62.04,47.68,439.8
GraphQL_fakeemail_country_2,1000,296,95,3682,462.48,99.500%,149.54389,57.20,53.16,391.7
GraphQL_fakeemail_country_3,1000,270,94,3549,332.24,99.600%,150.06002,62.40,82.94,425.8
GraphQL_fakeemail_country_4,1000,394,94,4097,659.59,99.600%,151.76810,58.05,94.71,391.7
GraphQL_fakeemail_country_5,1000,211,94,3953,225.77,99.500%,152.43902,58.28,105.70,391.5
GraphQL_fakeemail_country_6,1000,203,94,1318,170.66,99.300%,157.43073,60.14,80.10,391.2
GraphQL_fakeemail_country_7,1000,204,94,1267,149.89,99.200%,158.83100,60.70,80.50,391.3
GraphQL_fakeemail_country_8,1000,329,23,4517,531.77,0.000%,162.60163,147.52,40.97,929.0
GraphQL_fakeemail_country_9,1000,176,94,1304,128.77,99.000%,164.79895,62.92,91.57,391.0
GraphQL_fakeemail_country_10,1000,162,94,2759,193.13,99.000%,166.16816,63.28,70.59,389.9
TOTAL,10000,313,23,6136,471.22,89.200%,1285.01671,568.83,617.28,453.3
