Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_Animal_Dog_Kindduff,1,1429,1429,1429,0,0.00%,0.69979,0.71,0.2,1043
GraphQL_Animal_Dog_Ceo,1,1787,1787,1787,0,0.00%,0.5596,1.97,0.14,3614
GraphQL_Animal_HttpCat,1,659,659,659,0,0.00%,1.51745,30.69,0.36,20710
GraphQL_Animal_Meowfacts,1,136,136,136,0,0.00%,7.35294,12.93,0.98,1801
GraphQL_Animal_Placebear,1,692,692,692,0,0.00%,1.44509,24.73,0.35,17521
GraphQL_Animal_shibe,1,405,405,405,0,0.00%,2.46914,2.51,0.39,1042
GraphQL_Animal_RandomFox,1,615,615,615,0,0.00%,1.62602,8.22,0.39,5175
GraphQL_Animal_Xeno_Canto,1,2975,2975,2975,0,0.00%,0.33613,229.16,0.1,698126
GraphQL_Animal_Open_Pet_Food_Fact,1,1735,1735,1735,0,0.00%,0.57637,9.27,0.17,16478
GraphQL_Animal_MoveBank,1,2008,2008,2008,0,0.00%,0.49801,8.73,0.16,17948
GraphQL_Art_Artic1,1,854,854,854,0,0.00%,1.17096,4.17,0.23,3644
GraphQL_Art_Artic2,1,512,512,512,0,0.00%,1.95312,6.95,0.38,3644
GraphQL_Art_Colourlovers,1,479,479,479,0,0.00%,2.08768,1.14,0.53,557
GraphQL_Art_Emojihub,1,618,618,618,0,0.00%,1.61812,0.53,0.21,338
GraphQL_Art_collectionapi1,1,247,247,247,0,0.00%,4.04858,5.13,0.68,1298
GraphQL_Art_collectionapi2,1,1437,1437,1437,0,0.00%,0.69589,2262.53,0.13,3329284
GraphQL_Art_collectionapi3,1,1309,1309,1309,0,0.00%,0.76394,2.37,0.12,3178
GraphQL_Art_placebear1,1,294,294,294,0,0.00%,3.40136,56.35,0.42,16966
GraphQL_Art_placebear2,1,48,48,48,0,0.00%,20.83333,313.82,2.54,15425
GraphQL_Art_placebear3,1,44,44,44,0,0.00%,22.72727,321.93,2.77,14505
GraphQL_Business_tenders.guru1,1,1041,1041,1041,0,0.00%,0.96061,10.54,0.14,11235
GraphQL_Business_tenders.guru2,1,203,203,203,0,0.00%,4.92611,4.91,0.64,1020
GraphQL_Business_tenders.guru3,1,207,207,207,0,0.00%,4.83092,82.96,0.69,17584
GraphQL_Business_api.domainsdb,1,811,811,811,0,0.00%,1.23305,16.05,0.2,13325
GraphQL_Business_freelancer,1,268,268,268,0,0.00%,3.73134,6.39,0.47,1753
GraphQL_Business_tenders.guru4,1,145,145,145,0,0.00%,6.89655,18.46,0.93,2741
GraphQL_Business_tenders.guru5,1,206,206,206,0,0.00%,4.85437,53.26,0.69,11235
GraphQL_Business_tenders.guru6,1,203,203,203,0,0.00%,4.92611,10.13,0.68,2105
GraphQL_Business_tenders.guru7,1,1135,1135,1135,0,0.00%,0.88106,356.12,0.11,413893
GraphQL_Business_smallbusinessbc.ca,1,3342,3342,3342,0,0.00%,0.29922,48.26,0.05,165163
GraphQL_Calendar_calapi.inadiutorium1,1,846,846,846,0,0.00%,1.18203,0.54,0.19,472
GraphQL_Calendar_calapi.inadiutorium2,1,305,305,305,0,0.00%,3.27869,1.55,0.52,485
GraphQL_Calendar_calapi.inadiutorium3,1,204,204,204,0,0.00%,4.90196,2.6,0.74,544
GraphQL_Calendar_date.nager.at1,1,342,342,342,0,0.00%,2.92398,8.47,0.42,2967
GraphQL_Calendar_date.nager.at2,1,270,270,270,0,0.00%,3.7037,6.87,0.53,1900
GraphQL_Calendar_date.nager.at3,1,414,414,414,0,0.00%,2.41546,49.6,0.34,21029
GraphQL_Calendar_github_isdayoff,1,841,841,841,0,0.00%,1.18906,208.46,0.16,179523
GraphQL_Calendar_calapi1,1,277,277,277,0,0.00%,3.61011,34.8,0.52,9870
GraphQL_Calendar_calapi2,1,248,248,248,0,0.00%,4.03226,36.12,0.58,9172
GraphQL_Calendar_calapi3,1,263,263,263,0,0.00%,3.80228,35.3,0.55,9506
GraphQL_Development_24pullrequests,1,3953,3953,3953,0,0.00%,0.25297,3905.05,0.04,15807133
GraphQL_Development_api.apicagent,1,653,653,653,0,0.00%,1.53139,1.78,0.39,1190
GraphQL_Development_api.apis.guru1,1,242,242,242,0,0.00%,4.13223,59.38,0.54,14714
GraphQL_Development_api.apis.guru2,1,49,49,49,0,0.00%,20.40816,1238.22,2.69,62129
GraphQL_Development_api.apis.guru3,1,43,43,43,0,0.00%,23.25581,61.84,3.2,2723
GraphQL_Development_api.apis.guru4,1,28,28,28,0,0.00%,35.71429,57.13,4.92,1638
GraphQL_Development_api.apis.guru5,1,43,43,43,0,0.00%,23.25581,15.85,3.36,698
GraphQL_Development_api.apis.guru6,1,26,26,26,0,0.00%,38.46154,62.5,5,1664
GraphQL_Development_api.apis.guru7,1,1172,1172,1172,0,0.00%,0.85324,7379.25,0.11,8856043
GraphQL_Development_api.apis.guru8,1,31,31,31,0,0.00%,32.25806,53.71,4.28,1705
GraphQL_Development_api.apis.guru9,1,54,54,54,0,0.00%,18.51852,754.03,2.42,41695
GraphQL_Development_api.apis.guru10,1,31,31,31,0,0.00%,32.25806,68.04,4.41,2160
GraphQL_Development_api.apis.guru11,1,37,37,37,0,0.00%,27.02703,138.54,3.56,5249
GraphQL_Development_api.apis.guru12,1,32,32,32,0,0.00%,31.25,55.05,4.21,1804
GraphQL_Development_http2.pro,1,132,132,132,0,0.00%,7.57576,7.18,0.89,970
GraphQL_Development_qrtag.net1,1,960,960,960,0,0.00%,1.04167,22.56,0.18,22181
GraphQL_Development__qrtag.net2,1,386,386,386,0,0.00%,2.59067,55.01,0.43,21743
GraphQL_Development__qrtag.net3,1,282,282,282,0,0.00%,3.5461,2.8,0.54,808
GraphQL_Development_reqres.in1,1,244,244,244,0,0.00%,4.09836,7.75,0.52,1936
GraphQL_Development__reqres.in2,1,217,217,217,0,0.00%,4.60829,7.18,0.55,1596
GraphQL_Email_disify1,1,700,700,700,0,0.00%,1.42857,1.5,0.2,1073
GraphQL_Email_disify2,1,108,108,108,0,0.00%,9.25926,10.35,1.51,1145
GraphQL_Email_api.eva.pingutil1,1,2539,2539,2539,0,0.00%,0.39386,0.15,0.06,399
GraphQL_Email_api.guerrillamail,1,1024,1024,1024,0,0.00%,0.97656,0.98,0.18,1030
GraphQL_Email_open.kickbox.com,1,882,882,882,0,0.00%,1.13379,224.23,0.61,202513
GraphQL_Email_mailcheck.ai1,1,492,492,492,0,0.00%,2.03252,32.19,0.28,16219
GraphQL_Email_mailcheck.ai2,1,667,667,667,0,0.00%,1.49925,1.77,0.2,1209
GraphQL_Email_api.eva.pingutil2,1,87,87,87,0,0.00%,11.49425,4.57,1.72,407
GraphQL_Email_api.eva.pingutil3,1,117,117,117,0,0.00%,8.54701,3.31,1.22,397
GraphQL_Email_api.eva.pingutil4,1,1845,1845,1845,0,0.00%,0.54201,0.21,0.08,403
GraphQL_Finance_lookup.binlist.net1,1,817,817,817,0,0.00%,1.22399,0.96,0.16,805
