Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
Rest_Animal_Dog_Kindduff,1,673,673,673,0,0.00%,1.48588,1.39,0.42,961,1,Animal
Rest_Animal_Dog_Ceo,1,320,320,320,0,0.00%,3.125,11.02,0.8,3610,2,Animal
Rest_Animal_HttpCat,1,150,150,150,0,0.00%,6.66667,134.75,1.6,20697,3,Animal
Rest_Animal_Meowfacts,1,74,74,74,0,0.00%,13.51351,27.49,1.79,2083,4,Animal
Rest_Animal_Placebear,1,367,367,367,0,0.00%,2.7248,46.62,0.67,17521,5,Animal
Rest_Animal_shibe,1,254,254,254,0,0.00%,3.93701,4.01,0.62,1044,6,Animal
Rest_Animal_RandomFox,1,357,357,357,0,0.00%,2.80112,14.12,0.67,5163,7,Animal
Rest_Animal_Xeno_Canto,1,2637,2637,2637,0,0.00%,0.37922,258.54,0.12,698126,8,Animal
Rest_Animal_Open_Pet_Food_Fact,1,791,791,791,0,0.00%,1.26422,20.34,0.38,16478,9,Animal
Rest_Animal_MoveBank,1,1242,1242,1242,0,0.00%,0.80515,14.11,0.25,17947,10,Animal
Rest_Art_Artic1,1,1018,1018,1018,0,0.00%,0.98232,3.4,0.19,3540,11,Art & Design
Rest_Art_Artic2,1,745,745,745,0,0.00%,1.34228,4.64,0.26,3540,12,Art & Design
Rest_Art_Colourlovers,1,85,85,85,0,0.00%,11.76471,6.4,2.98,557,13,Art & Design
Rest_Art_Emojihub,1,262,262,262,0,0.00%,3.81679,1.26,0.5,339,14,Art & Design
Rest_Art_collectionapi1,1,170,170,170,0,0.00%,5.88235,7.45,0.99,1297,15,Art & Design
Rest_Art_collectionapi2,1,2040,2040,2040,0,0.00%,0.4902,1593.75,0.09,3329283,16,Art & Design
Rest_Art_collectionapi3,1,812,812,812,0,0.00%,1.23153,3.82,0.2,3175,17,Art & Design
Rest_Art_placebear1,1,328,328,328,0,0.00%,3.04878,50.51,0.37,16966,18,Art & Design
Rest_Art_placebear2,1,54,54,54,0,0.00%,18.51852,278.95,2.26,15425,19,Art & Design
Rest_Art_placebear3,1,58,58,58,0,0.00%,17.24138,244.22,2.1,14505,20,Art & Design
Rest_Business_tenders.guru1,1,478,478,478,0,0.00%,2.09205,22.95,0.3,11235,21,Business
Rest_Business_tenders.guru2,1,158,158,158,0,0.00%,6.32911,6.3,0.82,1020,22,Business
Rest_Business_tenders.guru3,1,189,189,189,0,0.00%,5.29101,90.86,0.75,17584,23,Business
Rest_Business_api.domainsdb,1,26543,26543,26543,0,0.00%,0.03767,0.49,0.01,13331,24,Business
Rest_Business_freelancer,1,157,157,157,0,0.00%,6.36943,10.94,0.81,1759,25,Business
Rest_Business_tenders.guru4,1,179,179,179,0,0.00%,5.58659,14.95,0.75,2741,26,Business
Rest_Business_tenders.guru5,1,175,175,175,0,0.00%,5.71429,62.66,0.81,11228,27,Business
Rest_Business_tenders.guru6,1,136,136,136,0,0.00%,7.35294,15.12,1.01,2105,28,Business
Rest_Business_tenders.guru7,1,1168,1168,1168,0,0.00%,0.85616,346.07,0.11,413908,29,Business
Rest_Business_smallbusinessbc.ca,1,3239,3239,3239,0,0.00%,0.30874,49.78,0.05,165122,30,Business
Rest_Calendar_calapi.inadiutorium1,1,226,226,226,0,0.00%,4.42478,2.04,0.7,472,31,Calendar
Rest_Calendar_calapi.inadiutorium2,1,112,112,112,0,0.00%,8.92857,4.22,1.42,484,32,Calendar
