Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Animal_Dog_Kindduff,1,777,777,777,0.00,0.000%,1.28700,1.57,0.36,1247.0
Rest_Animal_Dog_Ceo,1,470,470,470,0.00,0.000%,2.12766,7.50,0.54,3610.0
Rest_Animal_HttpCat,1,405,405,405,0.00,0.000%,2.46914,49.96,0.59,20718.0
Rest_Animal_Meowfacts,1,135,135,135,0.00,0.000%,7.40741,13.51,0.98,1868.0
Rest_Animal_Placebear,1,430,430,430,0.00,0.000%,2.32558,39.79,0.57,17521.0
Rest_Animal_shibe,1,258,258,258,0.00,0.000%,3.87597,3.98,0.61,1052.0
Rest_Animal_RandomFox,1,374,374,374,0.00,0.000%,2.67380,13.48,0.64,5161.0
Rest_Animal_Xeno_Canto,1,2697,2697,2697,0.00,0.000%,.37078,252.79,0.12,698126.0
Rest_Animal_Open_Pet_Food_Fact,1,10004,10004,10004,0.00,100.000%,.09996,0.24,0.00,2432.0
Rest_Animal_MoveBank,1,1026,1026,1026,0.00,0.000%,.97466,17.07,0.31,17935.0
Rest_Art_Artic1,1,782,782,782,0.00,0.000%,1.27877,4.42,0.25,3540.0
Rest_Art_Artic2,1,391,391,391,0.00,0.000%,2.55754,8.84,0.50,3540.0
Rest_Art_Colourlovers,1,159,159,159,0.00,0.000%,6.28931,3.42,1.59,557.0
Rest_Art_Emojihub,1,263,263,263,0.00,0.000%,3.80228,1.09,0.50,293.0
Rest_Art_collectionapi1,1,163,163,163,0.00,0.000%,6.13497,7.76,1.03,1296.0
Rest_Art_collectionapi2,1,1359,1359,1359,0.00,0.000%,.73584,2392.39,0.13,3329282.0
Rest_Art_collectionapi3,1,990,990,990,0.00,0.000%,1.01010,3.13,0.16,3174.0
Rest_Art_placebear1,1,313,313,313,0.00,0.000%,3.19489,52.93,0.39,16966.0
Rest_Art_placebear2,1,67,67,67,0.00,0.000%,14.92537,224.83,1.82,15425.0
Rest_Art_placebear3,1,51,51,51,0.00,0.000%,19.60784,277.75,2.39,14505.0
Rest_Business_tenders.guru1,1,526,526,526,0.00,0.000%,1.90114,20.85,0.27,11228.0
Rest_Business_tenders.guru2,1,134,134,134,0.00,0.000%,7.46269,7.43,0.97,1020.0
Rest_Business_tenders.guru3,1,182,182,182,0.00,0.000%,5.49451,94.27,0.78,17569.0
Rest_Business_api.domainsdb,1,23821,23821,23821,0.00,0.000%,.04198,0.55,0.01,13329.0
Rest_Business_freelancer,1,182,182,182,0.00,0.000%,5.49451,9.44,0.70,1759.0
Rest_Business_tenders.guru4,1,155,155,155,0.00,0.000%,6.45161,17.27,0.87,2741.0
Rest_Business_tenders.guru5,1,152,152,152,0.00,0.000%,6.57895,72.14,0.93,11228.0
