Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Rest_Animal_Dog_Kindduff,20,1037,1006,1334,1438,1479,755,1479,0.000%,11.60093,11.81,3.26
Rest_Animal_Dog_Ceo,20,424,388,485,574,618,337,618,0.000%,24.33090,85.76,6.23
Rest_Animal_HttpCat,20,539,446,710,721,783,285,783,0.000%,20.18163,408.01,4.85
Rest_Animal_Meowfacts,20,97,103,147,148,160,44,160,0.000%,32.62643,61.07,4.33
Rest_Animal_Placebear,20,2626,2616,4585,4610,4648,381,4648,0.000%,4.30108,73.59,1.05
Rest_Animal_shibe,20,199,187,211,223,351,167,351,0.000%,4.71365,4.81,0.74
Rest_Animal_RandomFox,20,374,333,481,481,550,303,550,0.000%,4.70588,23.74,1.12
Rest_Animal_Xeno_Canto,20,4266,3031,9252,11317,12301,483,12301,30.000%,1.25447,598.82,0.39
Rest_Animal_Open_Pet_Food_Fact,20,903,666,1371,1371,1385,593,1385,0.000%,1.44571,23.26,0.43
Rest_Animal_MoveBank,20,1426,1422,1779,1804,1966,875,1966,0.000%,1.44082,25.25,0.46
Rest_Art_Artic1,20,407,642,677,681,681,29,681,0.000%,1.64867,5.68,0.33
Rest_Art_Artic2,20,319,520,523,523,524,8,524,0.000%,1.74948,6.03,0.34
Rest_Art_Colourlovers,20,113,110,140,144,151,93,151,0.000%,1.81389,0.99,0.46
Rest_Art_Emojihub,20,579,687,724,726,732,261,732,0.000%,1.78699,0.55,0.23
Rest_Art_collectionapi1,20,183,185,234,234,376,97,376,0.000%,1.88947,2.39,0.32
Rest_Art_collectionapi2,20,7452,8195,10049,10076,10372,1664,10372,0.000%,1.65975,5396.27,0.30
Rest_Art_collectionapi3,20,1266,1154,1580,1659,1820,874,1820,0.000%,2.27635,7.07,0.37
Rest_Art_placebear1,20,398,302,555,1023,1292,256,1292,0.000%,2.44648,40.53,0.30
Rest_Art_placebear2,20,140,56,77,731,1064,40,1064,0.000%,2.52239,38.00,0.31
Rest_Art_placebear3,20,117,52,350,373,757,38,757,0.000%,2.53133,35.86,0.31
Rest_Business_tenders.guru1,20,9672,6508,12535,12608,59957,521,59957,0.000%,.29970,3.29,0.04
Rest_Business_tenders.guru2,20,5800,8092,8118,8118,8145,157,8145,0.000%,.29960,0.30,0.04
Rest_Business_tenders.guru3,20,678,513,544,579,4550,177,4550,0.000%,.28110,4.83,0.04
Rest_Business_api.domainsdb,20,9316,665,20324,20375,20375,370,20375,0.000%,.22168,2.88,0.04
Rest_Business_freelancer,20,57,42,75,113,269,31,269,0.000%,.22380,0.38,0.03
Rest_Business_tenders.guru4,20,17514,11012,25885,45910,62224,122,62224,0.000%,.22364,0.60,0.03
Rest_Business_tenders.guru5,20,9630,1996,33567,45007,47747,142,47747,0.000%,.23441,2.57,0.03
Rest_Business_tenders.guru6,20,11326,2112,33577,36981,36981,255,36981,0.000%,.26292,0.54,0.04
Rest_Business_tenders.guru7,20,3561,3122,5488,5545,5762,1083,5762,0.000%,.26009,105.13,0.03
Rest_Business_smallbusinessbc.ca,20,3625,3515,3721,4814,4906,3190,4906,0.000%,.26621,42.94,0.04
Rest_Calendar_calapi.inadiutorium1,20,265,227,252,252,894,222,894,0.000%,.27678,0.13,0.04
Rest_Calendar_calapi.inadiutorium2,20,123,113,126,129,245,111,245,0.000%,.27980,0.13,0.04
Rest_Calendar_calapi.inadiutorium3,20,120,114,126,126,198,111,198,0.000%,.28031,0.15,0.04
Rest_Calendar_date.nager.at1,20,148,120,126,160,686,89,686,0.000%,.28046,0.81,0.04
Rest_Calendar_date.nager.at2,20,64,41,56,264,273,35,273,0.000%,.28259,0.53,0.04
Rest_Calendar_date.nager.at3,20,140,48,432,464,595,38,595,0.000%,.28344,5.82,0.04
Rest_Calendar_github_isdayoff,20,660,569,868,880,1207,551,1207,0.000%,.28165,74.63,0.04
Rest_Calendar_calapi1,20,126,117,129,130,271,115,271,0.000%,.28574,2.75,0.04
Rest_Calendar_calapi2,20,127,117,132,133,260,114,260,0.000%,.28637,2.56,0.04
