Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Animal_Dog_Kindduff,50,1831,1434,2404,281.73,0.00%,20.50021,20.68,5.77,1033.2
Rest_Animal_Dog_Ceo,50,334,227,599,72.89,0.00%,52.9661,186.82,13.55,3611.7
Rest_Animal_HttpCat,50,696,147,1089,222.27,0.00%,42.8449,866.23,10.29,20703
Rest_Animal_Meowfacts,50,53,41,122,18.06,0.00%,67.93478,128.13,9.02,1931.4
Rest_Animal_Placebear,50,3654,345,7399,1949.09,0.00%,6.39468,109.42,1.56,17521
Rest_Animal_shibe,50,198,151,477,51.36,0.00%,6.744,6.87,1.05,1043
Rest_Animal_RandomFox,50,351,226,597,99.63,0.00%,6.70241,33.8,1.6,5164.4
Rest_Animal_Xeno_Canto,50,2761,473,15327,3835.74,66.00%,2.26388,525.49,0.7,237692.5
Rest_Animal_Open_Pet_Food_Fact,50,645,585,1583,183.96,0.00%,2.3525,37.86,0.71,16478.3
Rest_Animal_MoveBank,50,1043,861,2506,324.21,0.00%,2.35073,41.18,0.74,17938.8
Rest_Art_Artic1,50,220,24,636,254.2,0.00%,2.54634,8.35,0.5,3357.2
Rest_Art_Artic2,50,173,7,753,195.2,0.00%,2.62895,8.62,0.51,3357.1
Rest_Art_Colourlovers,50,156,86,1157,199.08,0.00%,2.57294,1.4,0.65,557
Rest_Art_Emojihub,50,576,343,1127,194.76,0.00%,2.45122,0.75,0.32,313.6
Rest_Art_collectionapi1,50,278,86,788,131.17,0.00%,2.52564,3.2,0.42,1296.5
Rest_Art_collectionapi2,50,26025,12073,31253,4231.19,0.00%,1.58193,5143.34,0.28,3329341.9
Rest_Art_collectionapi3,50,1935,1097,3448,491.12,0.00%,3.59428,11.16,0.59,3179
Rest_Art_placebear1,50,722,272,3352,632.23,0.00%,4.05318,67.15,0.49,16966
Rest_Art_placebear2,50,286,44,1337,371.85,0.00%,4.11083,61.92,0.5,15425
Rest_Art_placebear3,50,226,39,1080,353.13,0.00%,4.4603,63.18,0.54,14505
Rest_Business_tenders.guru1,50,4737,463,54636,7713.02,0.00%,0.81441,8.93,0.12,11231.9
Rest_Business_tenders.guru2,50,3990,130,53307,7369.24,0.00%,0.72993,0.73,0.09,1020
Rest_Business_tenders.guru3,50,9461,254,44698,14006.18,0.00%,0.68082,11.69,0.1,17580.7
Rest_Business_api.domainsdb,50,11739,318,40623,14772.49,0.00%,0.54263,7.02,0.09,13252.4
Rest_Business_freelancer,50,129,29,4255,589.54,0.00%,0.54715,0.94,0.07,1760.7
Rest_Business_tenders.guru4,50,18359,1771,57447,13191.65,0.00%,0.47082,1.26,0.06,2741
Rest_Business_tenders.guru5,50,10024,1041,49044,10449.08,0.00%,0.4457,4.89,0.06,11232.5
Rest_Business_tenders.guru6,50,16387,271,88023,17915.32,0.00%,0.47755,0.98,0.07,2105
Rest_Business_tenders.guru7,50,21717,1246,42746,14723.3,0.00%,0.47432,191.71,0.06,413891.2
Rest_Business_smallbusinessbc.ca,50,28642,13447,41925,8597.3,0.00%,0.44389,71.56,0.07,165072
Rest_Calendar_calapi.inadiutorium1,50,253,225,815,82.74,0.00%,0.50285,0.23,0.08,474
Rest_Calendar_calapi.inadiutorium2,50,125,113,212,21.07,0.00%,0.50734,0.24,0.08,484
Rest_Calendar_calapi.inadiutorium3,50,143,113,845,107.03,0.00%,0.50785,0.27,0.08,544
Rest_Calendar_date.nager.at1,50,138,76,1311,185.19,0.00%,0.50876,1.47,0.07,2959.9
Rest_Calendar_date.nager.at2,50,45,25,292,50.18,0.00%,0.51025,0.95,0.07,1915.7
Rest_Calendar_date.nager.at3,50,65,32,584,93.74,0.00%,0.51222,10.52,0.07,21037.1
Rest_Calendar_github_isdayoff,50,579,515,1078,102,0.00%,0.51209,135.58,0.07,271112.7
Rest_Calendar_calapi1,50,126,115,260,21.12,0.00%,0.51717,4.98,0.07,9869
Rest_Calendar_calapi2,50,152,115,1436,184.99,0.00%,0.51752,4.63,0.07,9171
Rest_Calendar_calapi3,50,281,115,3980,744.81,0.00%,0.51969,4.82,0.08,9505
Rest_Development_24pullrequests,50,31089,7220,60463,11507.89,86.00%,0.39689,858.18,0.06,2214139.3
Rest_Development_api.apicagent,50,819,174,22227,3072.61,0.00%,0.35777,0.41,0.09,1186.4
Rest_Development_api.apis.guru1,50,699,36,10211,2198.69,0.00%,0.35891,5.16,0.05,14711.5
Rest_Development_api.apis.guru2,50,69,24,649,105.76,0.00%,0.35932,21.79,0.05,62105.5
Rest_Development_api.apis.guru3,50,12,8,46,6.93,0.00%,0.35945,0.96,0.05,2742.5
Rest_Development_api.apis.guru4,50,12,7,60,10.1,0.00%,0.35948,0.57,0.05,1636.6
Rest_Development_api.apis.guru5,50,12,7,56,9.15,0.00%,0.35962,0.24,0.05,696.6
Rest_Development_api.apis.guru6,50,11,6,30,5.27,0.00%,0.35973,0.58,0.05,1662.5
