Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Animal_Dog_Kindduff,1000,729504,6566,22411262,3855571.83,3.06%,0.04226,0.05,0.01,1119.6
Rest_Animal_Dog_Ceo,1000,802,0,7919,1007.22,8.03%,0.04227,0.14,0.01,3489.4
Rest_Animal_HttpCat,1000,801,0,9852,1045.6,8.03%,0.04227,0.79,0.01,19211.4
Rest_Animal_Meowfacts,1000,301,0,5132,625.42,8.03%,0.04227,0.08,0.01,1921.1
Rest_Animal_Placebear,1000,261588,0,22392342,1832271.26,9.28%,0.0399,0.63,0.01,16087.4
Rest_Animal_shibe,1000,288,0,4470,442.18,35.03%,0.03772,0.05,0,1412
Rest_Animal_RandomFox,1000,1273,0,552992,19117.81,36.60%,0.03732,0.15,0.01,4042.6
Rest_Animal_Xeno_Canto,1000,224638,0,22383570,2205066.93,96.57%,0.03643,0.89,0.01,25123.8
Rest_Animal_Open_Pet_Food_Fact,1000,1042,0,11702,1570.41,43.52%,0.0358,0.36,0.01,10225.2
Rest_Animal_MoveBank,1000,6951,0,560433,55753.33,48.53%,0.03487,0.35,0.01,10265.3
Rest_Art_Artic1,1000,1020,0,549314,19874.38,53.34%,0.03407,0.09,0,2770.1
Rest_Art_Artic2,1000,105,0,6337,367.1,55.91%,0.03362,0.09,0,2731.7
Rest_Art_Colourlovers,1000,231,0,6447,540.86,56.31%,0.03363,0.05,0,1424.4
Rest_Art_Emojihub,1000,465,0,10952,998.91,57.91%,0.03331,0.04,0,1347.7
Rest_Art_collectionapi1,1000,466,0,6617,960.24,60.79%,0.03291,0.06,0,1790.3
Rest_Art_collectionapi2,1000,7665768,0,22391735,10617557.71,99.58%,0.03157,0.5,0,16275.1
Rest_Art_collectionapi3,1000,1630,0,564998,29858.4,99.72%,0.03155,0.07,0,2111.6
Rest_Art_placebear1,1000,31,0,293,75.4,100.00%,0.03237,0.07,0,2094.6
Rest_Art_placebear2,1000,0,0,10,0.72,100.00%,0.03237,0.07,0,2094
Rest_Art_placebear3,1000,0,0,5,0.33,100.00%,0.03237,0.07,0,2094
Rest_Business_tenders.guru1,1000,21,0,766,55.54,100.00%,0.03237,0.07,0,2093.8
Rest_Business_tenders.guru2,1000,1,0,765,28.77,100.00%,0.03237,0.07,0,2093
Rest_Business_tenders.guru3,1000,0,0,27,1.18,100.00%,0.03237,0.07,0,2093
Rest_Business_api.domainsdb,1000,8,0,65,14.89,100.00%,0.03237,0.07,0,2099.8
Rest_Business_freelancer,1000,37,0,130,52.81,100.00%,0.03237,0.07,0,2106.8
Rest_Business_tenders.guru4,1000,1,0,766,28.81,100.00%,0.03237,0.07,0,2093
Rest_Business_tenders.guru5,1000,0,0,9,0.4,100.00%,0.03237,0.07,0,2093
Rest_Business_tenders.guru6,1000,0,0,6,0.3,100.00%,0.03237,0.07,0,2093
Rest_Business_tenders.guru7,1000,0,0,7,0.41,100.00%,0.03237,0.07,0,2093
Rest_Business_smallbusinessbc.ca,1000,28,0,98,35.93,100.00%,0.03237,0.07,0,2099.8
Rest_Calendar_calapi.inadiutorium1,1000,10,0,43,13.68,100.00%,0.03237,0.07,0,2103.8
Rest_Calendar_calapi.inadiutorium2,1000,1,0,766,28.81,100.00%,0.03237,0.07,0,2103
Rest_Calendar_calapi.inadiutorium3,1000,0,0,6,0.3,100.00%,0.03237,0.07,0,2103
Rest_Calendar_date.nager.at1,1000,0,0,29,4.69,100.00%,0.03237,0.07,0,2094.8
Rest_Calendar_date.nager.at2,1000,0,0,9,0.62,100.00%,0.03237,0.07,0,2094
Rest_Calendar_date.nager.at3,1000,0,0,13,0.69,100.00%,0.03237,0.07,0,2094
Rest_Calendar_github_isdayoff,1000,0,0,25,2.78,100.00%,0.03237,0.07,0,2091.8
Rest_Calendar_calapi1,1000,0,0,9,0.75,100.00%,0.03237,0.07,0,2103
Rest_Calendar_calapi2,1000,0,0,8,0.51,100.00%,0.03237,0.07,0,2103
Rest_Calendar_calapi3,1000,0,0,8,0.44,100.00%,0.03237,0.07,0,2103
Rest_Development_24pullrequests,1000,0,0,37,3.53,100.00%,0.03237,0.07,0,2099.8
Rest_Development_api.apicagent,1000,0,0,16,2.03,100.00%,0.03237,0.07,0,2098.8
Rest_Development_api.apis.guru1,1000,0,0,7,0.44,100.00%,0.03237,0.07,0,2094.8
Rest_Development_api.apis.guru2,1000,0,0,12,0.62,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru3,1000,0,0,1,0.22,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru4,1000,0,0,7,0.39,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru5,1000,0,0,12,0.75,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru6,1000,0,0,1,0.13,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru7,1000,0,0,7,0.4,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru8,1000,0,0,8,0.49,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru9,1000,0,0,10,0.59,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru10,1000,0,0,6,0.3,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru11,1000,0,0,7,0.46,100.00%,0.03237,0.07,0,2094
Rest_Development_api.apis.guru12,1000,0,0,6,0.36,100.00%,0.03237,0.07,0,2094
Rest_Development_http2.pro,1000,0,0,7,0.63,100.00%,0.03237,0.07,0,2090.8
Rest_Development_qrtag.net1,1000,0,0,21,1.7,100.00%,0.03237,0.07,0,2094.8
Rest_Development__qrtag.net2,1000,0,0,7,0.33,100.00%,0.03237,0.07,0,2094
Rest_Development__qrtag.net3,1000,0,0,7,0.31,100.00%,0.03237,0.07,0,2094
Rest_Development_reqres.in1,1000,1,0,52,6.49,100.00%,0.03237,0.07,0,2090.8
Rest_Development__reqres.in2,1000,0,0,7,0.42,100.00%,0.03237,0.07,0,2090
Rest_Email_disify1,1000,0,0,12,1.03,100.00%,0.03237,0.07,0,2095.8
Rest_Email_disify2,1000,0,0,16,0.74,100.00%,0.03237,0.07,0,2095
Rest_Email_api.eva.pingutil1,1000,0,0,9,0.72,100.00%,0.03237,0.07,0,2101.8
Rest_Email_api.guerrillamail,1000,0,0,7,0.49,100.00%,0.03237,0.07,0,2102.8
Rest_Email_open.kickbox.com,1000,1,0,760,28.58,100.00%,0.03237,0.07,0,2097.8
Rest_Email_mailcheck.ai1,1000,0,0,11,0.61,100.00%,0.03237,0.07,0,2097.8
Rest_Email_mailcheck.ai2,1000,0,0,7,0.32,100.00%,0.03237,0.07,0,2097.8
Rest_Email_api.eva.pingutil2,1000,0,0,8,0.43,100.00%,0.03237,0.07,0,2101
Rest_Email_api.eva.pingutil3,1000,1,0,760,28.59,100.00%,0.03237,0.07,0,2101
Rest_Email_api.eva.pingutil4,1000,0,0,6,0.29,100.00%,0.03237,0.07,0,2101
Rest_Finance_lookup.binlist.net1,1000,0,0,7,0.49,100.00%,0.03237,0.07,0,2099.8
Rest_Finance_lookup.binlist.net2,1000,1,0,760,28.58,100.00%,0.03237,0.07,0,2099
Rest_Finance_econdb.com,1000,0,0,15,0.91,100.00%,0.03237,0.07,0,2095.8
Rest_Finance_api.fiscaldata.treasury.gov1,1000,0,0,8,0.67,100.00%,0.03237,0.07,0,2108.8
Rest_Finance_api.fiscaldata.treasury.gov2,1000,0,0,6,0.37,100.00%,0.03237,0.07,0,2108
Rest_Finance_api.fiscaldata.treasury.gov3,1000,0,0,8,0.49,100.00%,0.03237,0.07,0,2108
Rest_Finance_api.fiscaldata.treasury.gov4,1000,0,0,10,0.57,100.00%,0.03237,0.07,0,2108
Rest_Finance_api.mfapi.in,1000,0,0,8,0.47,100.00%,0.03237,0.07,0,2093.8
Rest_Finance_api.fiscaldata.treasury.gov5,1000,0,0,13,0.54,100.00%,0.03237,0.07,0,2108
Rest_Finance_api.fiscaldata.treasury.gov6,1000,0,0,7,0.49,100.00%,0.03237,0.07,0,2108
Rest_Game_amiiboapi1,1000,0,0,6,0.33,100.00%,0.03237,0.07,0,2098.8
Rest_Game_amiiboapi2,1000,0,0,7,0.33,100.00%,0.03237,0.07,0,2098
Rest_Game_amiiboapi3,1000,0,0,8,0.48,100.00%,0.03237,0.07,0,2098
Rest_Game_cheapshark1,1000,1,0,739,27.8,100.00%,0.03237,0.07,0,2099.8
Rest_Game_cheapshark2,1000,0,0,8,0.45,100.00%,0.03237,0.07,0,2099
Rest_Game_cheapshark3,1000,0,0,10,0.65,100.00%,0.03237,0.07,0,2099
Rest_Game_crafatar1,1000,0,0,7,0.35,100.00%,0.03237,0.07,0,2093.8
Rest_Game_digimoncard,1000,2,0,697,37.02,100.00%,0.03237,0.07,0,2095.8
Rest_Game_digimon-api1,1000,0,0,8,0.59,100.00%,0.03237,0.07,0,2103.8
Rest_Game_digimon-api2,1000,0,0,10,0.52,100.00%,0.03237,0.07,0,2103
Rest_Music_a10.gaanacdn,1000,0,0,8,0.46,100.00%,0.03237,0.07,0,2097.8
Rest_Music_binaryjazz.us,1000,0,0,8,0.45,100.00%,0.03237,0.07,0,2094.8
Rest_Music_jiosaavn,1000,0,0,8,0.46,100.00%,0.03237,0.07,0,2097.8
Rest_Music_api.lyrics.ovh1,1000,0,0,7,0.38,100.00%,0.03237,0.07,0,2095.8
Rest_Music_api.lyrics.ovh2,1000,1,0,724,27.24,100.00%,0.03237,0.07,0,2095
Rest_Music_s3.amazonaws1,1000,0,0,26,1.06,100.00%,0.03237,0.07,0,2097.8
Rest_Music_api.lyrics.ovh3,1000,0,0,16,0.73,100.00%,0.03237,0.07,0,2095
Rest_Music_api.lyrics.ovh4,1000,0,0,8,0.45,100.00%,0.03237,0.07,0,2095
Rest_Music_api.lyrics.ovh5,1000,0,0,1,0.2,100.00%,0.03237,0.07,0,2095
Rest_Music_api.lyrics.ovh6,1000,0,0,15,1.02,100.00%,0.03237,0.07,0,2095
Rest_Social_a.4cdn.org,1000,1,0,837,31.48,100.00%,0.03237,0.07,0,2091.8
Rest_Social_hacker-news1,1000,0,0,7,0.35,100.00%,0.03237,0.07,0,2107.8
Rest_Social_hacker-news2,1000,0,0,6,0.33,100.00%,0.03237,0.07,0,2107
Rest_Social_hacker-news3,1000,0,0,9,0.64,100.00%,0.03237,0.07,0,2107
Rest_Social_hacker-news4,1000,0,0,1,0.2,100.00%,0.03237,0.07,0,2107
Rest_Social_hacker-news5,1000,0,0,10,0.5,100.00%,0.03237,0.07,0,2107
Rest_Social_hacker-news6,1000,0,0,26,1.04,100.00%,0.03237,0.07,0,2107
Rest_Social_opencollective.com1,1000,1,0,724,27.24,100.00%,0.03237,0.07,0,2099.8
Rest_Social_opencollective.com2,1000,0,0,12,0.73,100.00%,0.03237,0.07,0,2099
Rest_Social_opencollective.com3,1000,0,0,11,0.7,100.00%,0.03237,0.07,0,2099
Rest_Security_data.police.uk1,1000,0,0,9,0.64,100.00%,0.03237,0.07,0,2095.8
Rest_Security_http-observatory.security.mozilla1,1000,0,0,9,0.4,100.00%,0.03237,0.07,0,2118.8
Rest_Security_http-observatory.security.mozilla2,1000,0,0,7,0.55,100.00%,0.03237,0.07,0,2118
Rest_Security_http-observatory.security.mozilla3,1000,0,0,9,0.39,100.00%,0.03237,0.07,0,2118
Rest_Security_tls-observatory.services.mozilla1,1000,0,0,8,0.54,100.00%,0.03237,0.07,0,2117.8
Rest_Security_tls-observatory.services.mozilla2,1000,0,0,9,0.58,100.00%,0.03237,0.07,0,2117
Rest_Security_tls-observatory.services.mozilla3,1000,0,0,9,0.6,100.00%,0.03237,0.07,0,2117
Rest_Security_tls-observatory.services.mozilla4,1000,0,0,23,1.14,100.00%,0.03237,0.07,0,2117
Rest_Security_data.police.uk2,1000,0,0,12,0.84,100.00%,0.03237,0.07,0,2095
Rest_Security_data.police.uk3,1000,0,0,9,0.5,100.00%,0.03237,0.07,0,2095
Rest_Transport_api.aviationapi,1000,0,0,8,0.61,100.00%,0.03237,0.07,0,2100.8
Rest_Transport_bcferriesapi.ca1,1000,0,0,12,0.62,100.00%,0.03237,0.07,0,2100.8
Rest_Transport_bcferriesapi.ca2,1000,0,0,8,0.36,100.00%,0.03237,0.07,0,2096.8
Rest_Transport_refugerestrooms1,1000,0,0,10,0.76,100.00%,0.03237,0.07,0,2104.8
Rest_Transport_refugerestrooms2,1000,0,0,1,0.23,100.00%,0.03237,0.07,0,2104
Rest_Transport_refugerestrooms3,1000,0,0,8,0.42,100.00%,0.03237,0.07,0,2104
Rest_Transport_refugerestrooms4,1000,0,0,1,0.22,100.00%,0.03237,0.07,0,2104
Rest_Transport_myttc.ca,1000,0,0,8,0.46,100.00%,0.03237,0.07,0,2089.8
Rest_Transport_v0.ovapi1,1000,0,0,8,0.46,100.00%,0.03237,0.07,0,2092.8
Rest_Transport_v0.ovapi2,1000,0,0,15,0.73,100.00%,0.03237,0.07,0,2092
Rest_Movie_anapioficeandfire1,1000,0,0,15,0.61,100.00%,0.03237,0.07,0,2102.8
Rest_Movie_anapioficeandfire2,1000,0,0,1,0.22,100.00%,0.03237,0.07,0,2102
Rest_Movie_breakingbadquotes1,1000,0,0,1,0.23,100.00%,0.03237,0.07,0,2106.8
Rest_Movie_breakingbadquotes2,1000,0,0,20,0.85,100.00%,0.03237,0.07,0,2106
Rest_Movie_finalspaceapi1,1000,0,0,8,0.52,100.00%,0.03237,0.07,0,2098.8
Rest_Movie_finalspaceapi2,1000,0,0,9,0.59,100.00%,0.03237,0.07,0,2098
Rest_Movie_gameofthronesquotes1,1000,0,0,8,0.58,100.00%,0.03237,0.07,0,2108.8
Rest_Movie_gameofthronesquotes2,1000,0,0,7,0.4,100.00%,0.03237,0.07,0,2108
Rest_Movie_lucifer-quotes1,1000,0,0,9,0.48,100.00%,0.03237,0.07,0,2106.6
Rest_Movie_lucifer-quotes2,1000,0,0,8,0.4,100.00%,0.03237,0.07,0,2106
Rest_Weather_7timer1,1000,0,0,10,0.57,100.00%,0.03237,0.07,0,2096.6
Rest_Weather_7timer2,1000,1,0,871,32.81,100.00%,0.03237,0.07,0,2096
Rest_Weather_api.open-meteo1,1000,0,0,9,0.58,100.00%,0.03237,0.07,0,2099.6
Rest_Weather_api.open-meteo2,1000,1,0,871,32.76,100.00%,0.03237,0.07,0,2099
Rest_Weather_api.open-meteo3,1000,0,0,12,0.66,100.00%,0.03237,0.07,0,2107.6
Rest_Weather_tilecache.rainviewer1,1000,0,0,68,2.75,100.00%,0.03237,0.07,0,2105.6
Rest_Weather_tilecache.rainviewer2,1000,0,0,9,0.48,100.00%,0.03237,0.07,0,2105
Rest_Weather_api.weather.gov1,1000,0,0,8,0.37,100.00%,0.03237,0.07,0,2096.6
Rest_Weather_api.weather.gov2,1000,0,0,24,1.04,100.00%,0.03237,0.07,0,2096
Rest_Weather_tilecache.rainviewer3,1000,0,0,9,0.4,100.00%,0.03237,0.07,0,2105
TOTAL,107825,60654,0,22411262,1149634.68,92.65%,4.81059,12.97,0.09,2761.7
