Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Rest_Animal_Dog_Kindduff,20,772,707,992,1046,1047,641,1047,0.000%,12.67427,12.71,3.56
Rest_Animal_Dog_Ceo,20,377,370,421,432,665,249,665,0.000%,20.00000,70.52,5.12
Rest_Animal_HttpCat,20,201,197,235,256,270,154,270,0.000%,24.47980,495.00,5.88
Rest_Animal_Meowfacts,20,46,44,54,61,66,41,66,0.000%,31.15265,56.42,4.14
Rest_Animal_Placebear,20,1409,1374,2347,2362,2368,345,2368,0.000%,8.12348,139.00,1.98
Rest_Animal_shibe,20,212,200,258,288,323,170,323,0.000%,8.49979,8.67,1.33
Rest_Animal_RandomFox,20,313,315,343,356,358,202,358,0.000%,8.48896,42.81,2.02
Rest_Animal_Xeno_Canto,20,3330,2614,8168,8415,9347,475,9347,40.000%,1.91186,782.39,0.59
Rest_Animal_Open_Pet_Food_Fact,20,1028,594,1913,2223,6162,585,6162,0.000%,2.06847,33.29,0.62
Rest_Animal_MoveBank,20,1263,875,2636,3771,3968,859,3968,0.000%,1.87864,32.92,0.59
Rest_Art_Artic1,20,33,29,46,69,73,23,73,0.000%,2.03811,7.36,0.40
Rest_Art_Artic2,20,12,7,11,11,92,6,92,0.000%,2.03438,7.35,0.40
Rest_Art_Colourlovers,20,116,96,120,164,397,82,397,0.000%,2.01288,1.09,0.51
Rest_Art_Emojihub,20,265,256,283,336,340,247,340,0.000%,1.97687,0.59,0.26
Rest_Art_collectionapi1,20,194,94,186,202,1677,84,1677,0.000%,1.98629,2.51,0.33
Rest_Art_collectionapi2,20,4112,4876,5901,6445,7210,1432,7210,0.000%,1.68265,5470.82,0.30
Rest_Art_collectionapi3,20,1339,1252,1753,1911,2036,1014,2036,0.000%,2.52749,7.85,0.41
Rest_Art_placebear1,20,287,286,311,313,352,249,352,0.000%,2.85755,47.34,0.35
Rest_Art_placebear2,20,54,53,63,73,73,45,73,0.000%,2.94724,44.40,0.36
Rest_Art_placebear3,20,54,52,69,82,101,40,101,0.000%,2.94811,41.76,0.36
Rest_Business_tenders.guru1,20,8158,3954,7407,45326,48517,450,48517,0.000%,.36669,4.02,0.05
Rest_Business_tenders.guru2,20,5553,3836,4030,9414,46123,129,46123,0.000%,.35998,0.36,0.05
Rest_Business_tenders.guru3,20,3021,3966,4103,4115,4140,142,4140,0.000%,.35584,6.11,0.05
Rest_Business_api.domainsdb,20,3994,982,10374,10377,10584,344,10584,0.000%,.30167,3.92,0.05
Rest_Business_freelancer,20,33,28,36,73,80,23,80,0.000%,.30312,0.52,0.04
Rest_Business_tenders.guru4,20,9114,3556,20383,44326,46998,318,46998,0.000%,.27531,0.74,0.04
Rest_Business_tenders.guru5,20,3867,964,8672,9270,23693,136,23693,0.000%,.30378,3.33,0.04
Rest_Business_tenders.guru6,20,7199,1263,23594,23680,38641,124,38641,0.000%,.32190,0.66,0.04
Rest_Business_tenders.guru7,20,6256,2614,21269,21271,21604,1031,21604,0.000%,.33683,136.14,0.04
Rest_Business_smallbusinessbc.ca,20,3535,3351,4230,4394,4781,3096,4781,0.000%,.34385,55.34,0.06
Rest_Calendar_calapi.inadiutorium1,20,374,228,242,258,3120,221,3120,0.000%,.36352,0.17,0.06
Rest_Calendar_calapi.inadiutorium2,20,114,113,122,125,126,111,126,0.000%,.36416,0.17,0.06
Rest_Calendar_calapi.inadiutorium3,20,116,113,127,130,132,111,132,0.000%,.36416,0.19,0.05
Rest_Calendar_date.nager.at1,20,173,107,165,353,1233,77,1233,0.000%,.36468,1.06,0.05
Rest_Calendar_date.nager.at2,20,66,38,46,304,357,25,357,0.000%,.36679,0.69,0.05
Rest_Calendar_date.nager.at3,20,83,48,75,379,449,31,449,0.000%,.36625,7.52,0.05
Rest_Calendar_github_isdayoff,20,624,546,877,893,974,505,974,0.000%,.36358,96.43,0.05
Rest_Calendar_calapi1,20,118,116,122,125,150,113,150,0.000%,.36936,3.56,0.05
Rest_Calendar_calapi2,20,118,117,126,126,130,113,130,0.000%,.36937,3.31,0.05
