Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Animal_Dog_Kindduff,490,24352,4905,442311,54351.50,0.000%,1.10492,1.12,0.31,1036.3
Rest_Animal_Dog_Ceo,484,3662,208,442181,34850.91,0.413%,.71255,2.51,0.18,3608.5
Rest_Animal_HttpCat,482,143453,122,66926287,3045355.92,0.207%,.00720,0.15,0.00,20672.6
Rest_Animal_Meowfacts,481,96,41,3126,248.81,0.000%,.70906,1.33,0.09,1914.6
Rest_Animal_Placebear,481,146934,295,66982629,3050629.50,0.208%,.00718,0.12,0.00,17467.9
Rest_Animal_shibe,479,914,149,169816,8475.36,0.000%,.70560,0.72,0.11,1043.7
Rest_Animal_RandomFox,476,1001,222,76224,5773.02,0.000%,.70160,3.54,0.17,5164.5
Rest_Animal_Xeno_Canto,467,14568,473,634294,73065.00,83.726%,.65850,73.35,0.20,114066.3
Rest_Animal_Open_Pet_Food_Fact,465,5185,584,455542,37591.01,1.075%,.61090,9.75,0.18,16337.1
Rest_Animal_MoveBank,459,586203,863,66948324,6206021.90,1.961%,.00685,0.12,0.00,17648.3
Rest_Art_Artic1,455,3654,24,453817,35346.78,1.099%,.59925,1.86,0.12,3185.1
Rest_Art_Artic2,455,163,6,7148,444.37,0.000%,.59987,1.87,0.12,3191.6
Rest_Art_Colourlovers,454,221,83,8886,649.73,0.000%,.59898,0.33,0.15,557.0
Rest_Art_Emojihub,453,1661,277,183173,12907.91,0.000%,.59752,0.18,0.08,314.9
Rest_Art_collectionapi1,453,2654,99,183053,9162.46,0.221%,.59805,0.76,0.10,1302.1
Rest_Art_collectionapi2,317,563743,1780,66907591,3744119.72,53.943%,.00474,5.15,0.00,1114015.8
Rest_Art_collectionapi3,310,43917,791,448851,80554.99,3.871%,.41238,1.25,0.07,3101.8
Rest_Art_placebear1,310,220130,249,66279647,3757999.85,0.323%,.00463,0.08,0.00,16916.0
Rest_Art_placebear2,309,431467,0,66302811,5314054.63,14.239%,.00461,0.06,0.00,13525.0
Rest_Art_placebear3,307,433606,0,66283558,5330826.47,6.515%,.00458,0.06,0.00,13699.7
Rest_Business_tenders.guru1,305,32434,491,120486,28829.88,21.967%,.37531,3.24,0.05,8838.3
Rest_Business_tenders.guru2,305,22842,137,120312,24582.58,16.066%,.33788,0.30,0.04,908.4
Rest_Business_tenders.guru3,305,24835,200,101276,18256.58,6.230%,.32099,5.17,0.05,16508.5
Rest_Business_api.domainsdb,305,14300,297,36971,15093.83,0.000%,.31506,4.10,0.05,13326.0
Rest_Business_freelancer,303,257,29,18415,1276.15,0.000%,.31383,0.54,0.04,1761.4
Rest_Business_tenders.guru4,303,39398,174,121879,24104.51,25.083%,.30756,0.64,0.04,2134.5
Rest_Business_tenders.guru5,303,31566,190,120342,21575.93,11.881%,.28576,2.77,0.04,9938.7
Rest_Business_tenders.guru6,303,32581,154,167328,20116.85,10.561%,.24685,0.46,0.03,1926.7
Rest_Business_tenders.guru7,303,36037,3893,169875,20724.83,8.251%,.24245,89.92,0.03,379769.3
Rest_Business_smallbusinessbc.ca,303,12191,3044,98394,15733.45,4.950%,.22258,34.13,0.04,157033.2
Rest_Calendar_calapi.inadiutorium1,303,2370,226,66107,5878.73,0.660%,.22338,0.11,0.04,493.0
Rest_Calendar_calapi.inadiutorium2,303,1037,112,39781,3525.68,0.000%,.22350,0.11,0.04,484.0
Rest_Calendar_calapi.inadiutorium3,303,851,112,30177,3116.02,0.000%,.22353,0.12,0.03,544.0
Rest_Calendar_date.nager.at1,303,7788,81,100832,17542.99,11.881%,.22124,0.64,0.03,2947.6
Rest_Calendar_date.nager.at2,303,3330,27,61401,10403.34,4.290%,.22139,0.42,0.03,1959.2
Rest_Calendar_date.nager.at3,303,1815,32,167867,11411.12,1.320%,.22087,4.49,0.03,20798.8
Rest_Calendar_github_isdayoff,303,8818,516,113021,15733.61,13.531%,.21869,50.15,0.03,234834.6
Rest_Calendar_calapi1,303,1776,114,48081,4893.37,0.000%,.21705,2.09,0.03,9869.0
Rest_Calendar_calapi2,303,898,115,30142,2762.76,0.000%,.21646,1.94,0.03,9171.0
Rest_Calendar_calapi3,303,1005,115,33124,3424.69,0.000%,.21487,1.99,0.03,9505.0
TOTAL,28335,48390,0,66982629,1577051.04,8.855%,.42275,37.62,0.07,91117.3
