Type,Catogory,Label,Samples,Average,Median,90%Line,95%Line,99%Line,Min,Max,Error%,Throughput,Received KB,Sent KB/sec
Rest,Art & Images,Art Institute of Chicago,50,29651,30097,30112,30119,30136,25603,30136,0.82,1.608596339,2.356373711,0.208929017
Rest,Crypto & Finance,Binance,50,194,173,254,257,279,152,279,0,8.767315448,25.44370836,1.121599925
Rest,Crypto & Finance,CoinBase,50,398,396,405,406,414,391,414,0,8.574858515,134.6234364,1.331447758
Rest,Developer Tools,Arul's Public APIs,50,93,90,99,102,158,84,158,1,9.030160737,10.78328179,1.172862674
Rest,Developer Tools,Cloudflare Trace,50,396,389,407,415,711,345,711,0,8.667013347,649.3837618,6.246343604
Rest,Communication,Discord,50,441,418,433,437,1512,406,1512,0,8.26036676,283.7010057,1.290682306
Rest,Communication,Instagram,50,681,671,694,708,1014,591,1014,1,7.912644406,17.00198558,1.707709388
Rest,Food & Drink,Cocktail Database,50,9407,10898,13293,13403,14294,3124,14294,0,2.545436033,2106.675545,0.385295493
Rest,Fun & Games,Chuck Norris Jokes,50,546,340,1142,1261,2675,248,2675,0,3.122073057,54.81921246,0.509166211
Rest,Fun & Games,D&D 5th Edition,50,254,228,253,256,1083,219,1083,0,3.176216491,1.460935515,0.505589148
Rest,Language,Chinese Character Web,50,161,104,376,546,731,83,731,0,3.209242619,327.7564385,0.752166239
Rest,"	Inspiration","	Kanye",50,81,41,83,207,916,30,916,0,3.218124477,2.623651405,0.389694761
Rest,Music,"	MusicBrainz",50,40,29,45,51,409,22,409,0,3.253090436,3.76399083,0.460642689
Rest,Transportation,"	iRail",50,3246,549,8960,9036,9284,273,9284,0,2.083767452,19.49559804,0.333728381
Rest,Weather,"	7Timer!",50,45,43,47,49,151,39,151,1,2.111932418,2.514354541,0.25780425
GraphQL,Art & Images,COLOURlovers,50,177,169,204,225,263,119,263,0,40.55150041,4051.82355,5.66295367
GraphQL,Crypto & Finance,DEX Screener,50,70,58,122,125,147,48,147,0,44.01408451,48.23668574,6.490358165
GraphQL,Crypto & Finance,ExchangeRate-API,50,606,620,776,808,951,328,951,0,25.94706798,239.5036002,4.434313376
GraphQL,Developer Tools,"	Google Favicons",50,317,237,425,617,1162,170,1162,0,19.48558067,1701.101849,26.01248904
GraphQL,Developer Tools,"	goQR",50,2367,1148,2986,3120,41836,691,41836,0.02,1.159958242,386.3686103,0.154306164
GraphQL,Communication,Medium,50,1131,461,1247,1263,23012,430,23012,0,1.172937975,9.975539661,0.130580986
GraphQL,Communication,Pinterest,50,918,902,1942,2236,3967,84,3967,0,1.116594832,102.1592458,0.134122231
GraphQL,Food & Drink,"	Open Brewery DB",50,3464,2781,8413,9113,10585,510,10585,0,1.107861384,586.0570279,0.16553007
GraphQL,Fun & Games,Deck of Cards,50,1400,1152,2845,3104,3817,138,3817,0,1.140198851,453.9928873,0.158113512
GraphQL,Fun & Games,"	Evil Insult",50,1257,1083,1888,2204,4679,388,4679,0,1.185592678,197.0612029,0.200300325
GraphQL,Language,Free Dictionary,50,1119,964,1803,2061,3016,687,3016,0,1.199414686,86.52235522,0.147584229
GraphQL,"	Inspiration","	Quotable",50,347,218,574,960,1196,178,1196,0,1.244276329,35.68244279,0.149458973
GraphQL,Music,"	iTunes Search",50,136,41,514,751,1256,26,1256,0,1.250594032,12.62814192,0.152660404
GraphQL,Transportation,MBTA,50,276,185,526,889,1470,121,1470,0,1.24828361,309.0891626,0.153597397
GraphQL,Weather,SG Weather,50,761,702,994,1112,1653,520,1653,0,1.255366693,144.0190015,0.14588734
