timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709693780892,169,graphql_braintreepayments,200,OK,GraphQL 3-1,text,true,,102316,143,9,19,https://graphql.braintreepayments.com/explorer/,140,0,19
1709693780911,155,graphql_braintreepayments,200,OK,GraphQL 3-2,text,true,,102316,143,9,19,https://graphql.braintreepayments.com/explorer/,123,0,17
1709693780931,164,graphql_braintreepayments,200,OK,GraphQL 3-3,text,true,,102316,143,11,22,https://graphql.braintreepayments.com/explorer/,138,0,17
1709693780952,157,graphql_braintreepayments,200,OK,GraphQL 3-4,text,true,,102316,143,11,23,https://graphql.braintreepayments.com/explorer/,134,0,18
1709693781061,54,buildkiteassets,200,OK,GraphQL 3-1,text,true,,1123,151,12,24,https://buildkiteassets.com/graphql-explorer/index.html,54,0,35
1709693781067,52,buildkiteassets,200,OK,GraphQL 3-2,text,true,,1123,151,12,25,https://buildkiteassets.com/graphql-explorer/index.html,52,0,36
1709693781095,57,buildkiteassets,200,OK,GraphQL 3-3,text,true,,1123,151,13,27,https://buildkiteassets.com/graphql-explorer/index.html,57,0,39
1709693780973,188,graphql_braintreepayments,200,OK,GraphQL 3-5,text,true,,102316,143,14,29,https://graphql.braintreepayments.com/explorer/,160,0,17
1709693781109,52,buildkiteassets,200,OK,GraphQL 3-4,text,true,,1123,151,14,29,https://buildkiteassets.com/graphql-explorer/index.html,52,0,35
1709693780993,198,graphql_braintreepayments,200,OK,GraphQL 3-6,text,true,,102316,143,15,31,https://graphql.braintreepayments.com/explorer/,156,0,17
1709693781032,175,graphql_braintreepayments,200,OK,GraphQL 3-8,text,true,,102316,143,16,33,https://graphql.braintreepayments.com/explorer/,142,0,19
1709693781162,56,buildkiteassets,200,OK,GraphQL 3-5,text,true,,1123,151,17,35,https://buildkiteassets.com/graphql-explorer/index.html,56,0,37
1709693781011,225,graphql_braintreepayments,200,OK,GraphQL 3-7,text,true,,102316,143,18,36,https://graphql.braintreepayments.com/explorer/,179,0,21
1709693781053,186,graphql_braintreepayments,200,OK,GraphQL 3-9,text,true,,102316,143,18,37,https://graphql.braintreepayments.com/explorer/,145,0,21
1709693781073,166,graphql_braintreepayments,200,OK,GraphQL 3-10,text,true,,102316,143,18,37,https://graphql.braintreepayments.com/explorer/,134,0,18
1709693781091,166,graphql_braintreepayments,200,OK,GraphQL 3-11,text,true,,102316,143,19,39,https://graphql.braintreepayments.com/explorer/,145,0,25
1709693781208,56,buildkiteassets,200,OK,GraphQL 3-8,text,true,,1123,151,19,39,https://buildkiteassets.com/graphql-explorer/index.html,56,0,40
1709693781192,87,buildkiteassets,200,OK,GraphQL 3-6,text,true,,1123,151,20,41,https://buildkiteassets.com/graphql-explorer/index.html,87,0,60
1709693781111,170,graphql_braintreepayments,200,OK,GraphQL 3-12,text,true,,102316,143,20,41,https://graphql.braintreepayments.com/explorer/,142,0,23
1709693781131,157,graphql_braintreepayments,200,OK,GraphQL 3-13,text,true,,102316,143,20,41,https://graphql.braintreepayments.com/explorer/,130,0,18
1709693781239,56,buildkiteassets,200,OK,GraphQL 3-10,text,true,,1123,151,21,42,https://buildkiteassets.com/graphql-explorer/index.html,56,0,38
1709693781237,60,buildkiteassets,200,OK,GraphQL 3-7,text,true,,1123,151,21,43,https://buildkiteassets.com/graphql-explorer/index.html,60,0,43
1709693781239,61,buildkiteassets,200,OK,GraphQL 3-9,text,true,,1123,151,21,43,https://buildkiteassets.com/graphql-explorer/index.html,61,0,40
1709693781257,50,buildkiteassets,200,OK,GraphQL 3-11,text,true,,1123,151,21,43,https://buildkiteassets.com/graphql-explorer/index.html,50,0,35
1709693781152,159,graphql_braintreepayments,200,OK,GraphQL 3-14,text,true,,102316,143,21,43,https://graphql.braintreepayments.com/explorer/,133,0,22
1709693781288,53,buildkiteassets,200,OK,GraphQL 3-13,text,true,,1123,151,23,47,https://buildkiteassets.com/graphql-explorer/index.html,52,0,35
1709693781281,69,buildkiteassets,200,OK,GraphQL 3-12,text,true,,1123,151,23,47,https://buildkiteassets.com/graphql-explorer/index.html,69,0,53
1709693781311,52,buildkiteassets,200,OK,GraphQL 3-14,text,true,,1123,151,24,49,https://buildkiteassets.com/graphql-explorer/index.html,52,0,33
1709693781172,203,graphql_braintreepayments,200,OK,GraphQL 3-15,text,true,,102316,143,25,50,https://graphql.braintreepayments.com/explorer/,157,0,20
1709693781212,166,graphql_braintreepayments,200,OK,GraphQL 3-17,text,true,,102316,143,25,51,https://graphql.braintreepayments.com/explorer/,134,0,23
1709693781232,163,graphql_braintreepayments,200,OK,GraphQL 3-18,text,true,,102316,143,26,52,https://graphql.braintreepayments.com/explorer/,130,0,22
1709693781193,204,graphql_braintreepayments,200,OK,GraphQL 3-16,text,true,,102316,143,26,53,https://graphql.braintreepayments.com/explorer/,160,0,28
1709693781251,151,graphql_braintreepayments,200,OK,GraphQL 3-19,text,true,,102316,143,26,53,https://graphql.braintreepayments.com/explorer/,122,0,20
1709693781375,54,buildkiteassets,200,OK,GraphQL 3-15,text,true,,1123,151,27,55,https://buildkiteassets.com/graphql-explorer/index.html,54,0,37
1709693781379,54,buildkiteassets,200,OK,GraphQL 3-17,text,true,,1123,151,28,56,https://buildkiteassets.com/graphql-explorer/index.html,54,0,36
1709693781271,169,graphql_braintreepayments,200,OK,GraphQL 3-20,text,true,,102316,143,28,57,https://graphql.braintreepayments.com/explorer/,141,0,21
1709693781395,50,buildkiteassets,200,OK,GraphQL 3-18,text,true,,1123,151,28,57,https://buildkiteassets.com/graphql-explorer/index.html,50,0,36
1709693781398,48,buildkiteassets,200,OK,GraphQL 3-16,text,true,,1123,151,28,57,https://buildkiteassets.com/graphql-explorer/index.html,48,0,33
1709693781402,49,buildkiteassets,200,OK,GraphQL 3-19,text,true,,1123,151,28,57,https://buildkiteassets.com/graphql-explorer/index.html,49,0,34
1709693781120,339,studio_apollographql,200,OK,GraphQL 3-2,text,true,,9452,175,29,59,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,335,0,46
1709693781314,155,graphql_braintreepayments,200,OK,GraphQL 3-22,text,true,,102316,143,29,59,https://graphql.braintreepayments.com/explorer/,120,0,17
1709693781116,360,studio_apollographql,200,OK,GraphQL 3-1,text,true,,9452,175,30,60,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,359,0,50
1709693781292,190,graphql_braintreepayments,200,OK,GraphQL 3-21,text,true,,102316,143,30,61,https://graphql.braintreepayments.com/explorer/,156,0,17
1709693781333,157,graphql_braintreepayments,200,OK,GraphQL 3-23,text,true,,102316,143,30,61,https://graphql.braintreepayments.com/explorer/,131,0,21
1709693781441,55,buildkiteassets,200,OK,GraphQL 3-20,text,true,,1123,151,31,62,https://buildkiteassets.com/graphql-explorer/index.html,55,0,38
1709693781353,158,graphql_braintreepayments,200,OK,GraphQL 3-24,text,true,,102316,143,32,64,https://graphql.braintreepayments.com/explorer/,131,0,26
1709693781470,58,buildkiteassets,200,OK,GraphQL 3-22,text,true,,1123,151,32,65,https://buildkiteassets.com/graphql-explorer/index.html,58,0,39
1709693781371,160,graphql_braintreepayments,200,OK,GraphQL 3-25,text,true,,102316,143,33,66,https://graphql.braintreepayments.com/explorer/,131,0,25
